RT,mz,name,adduct,fill_perc,SN_ratio
2.012,510.45201,CAR 24:1,[M+H]+,0.58,32.1
2.02,580.43415,LPC 22:0,[M+H]+,0.7,27.72
2.051,884.5407,BMP 44:12|BMP 22:6_22:6,[M+NH4]+,0.97,605.37
2.098,860.54206,BMP 42:10|BMP 20:4_22:6,[M+NH4]+,0.86,86.62
2.129,836.54208,BMP 40:8|BMP 18:2_22:6,[M+NH4]+,0.92,79.08
2.182,812.54246,BMP 38:6|BMP 18:2_20:4,[M+NH4]+,0.09,9.67
2.185,886.55847,BMP 44:11|BMP 22:5_22:6,[M+NH4]+,0.42,88.46
2.196,726.50581,PC 32:4|PC 16:2_16:2,[M+H]+,0.62,34.23
2.215,788.54045,BMP 36:4|BMP 18:2_18:2,[M+NH4]+,0.03,40.97
2.237,702.50837,PC 30:2|PC 15:1_15:1,[M+H]+,0.69,34.91
2.262,512.46648,CAR 24:0,[M+H]+,0.65,31.97
2.264,538.48203,CAR 26:1,[M+H]+,0.12,34.89
2.284,752.52125,PC 34:5|PC 14:1_20:4,[M+H]+,0.2,14.97
2.297,838.55752,BMP 40:7|BMP 18:1_22:6,[M+NH4]+,0.7,300.63
2.3,778.53541,PC 36:6|PC 14:0_22:6,[M+H]+,0.04,98.15
2.302,608.46253,LPC 24:0,[M+H]+,0.89,40.28
2.305,828.5532,PC 40:9|PC 20:4_20:5,[M+H]+,0.11,99.15
2.315,728.52254,PC 32:3|PC 14:1_18:2,[M+H]+,0.26,35.4
2.338,878.56986,PC 44:12|PC 22:6_22:6,[M+H]+,0.1,111.05
2.341,740.5198,PC 33:4|PC 13:0_20:4,[M+H]+,0.03,29.05
2.356,754.53784,PC 34:4|PC 14:0_20:4,[M+H]+,0.95,163.23
2.357,804.55124,PC 38:7|PC 16:1_22:6,[M+H]+,0.87,574.79
2.362,806.55993,PC 38:6|PC 16:0_22:6,[M+H]+,0.06,45.75
2.38,675.54168,SM 32:1;O2|SM 18:1;O2/14:0,[M+H]+,0.96,46.64
2.386,778.53789,PC 36:6|PC 14:0_22:6,[M+H]+,0.91,247.99
2.387,788.54203,PG 36:4|PG 18:2_18:2,[M+NH4]+,0.19,82.28
2.387,900.5588,PI 38:6,[M+NH4]+,0.92,94.89
2.4,780.55112,PC 36:5|PC 16:1_20:4,[M+H]+,0.91,2293.7
2.408,854.56517,PC 42:10|PC 20:4_22:6,[M+H]+,0.97,1193.29
2.418,804.55279,PC 38:7|PC 14:1_24:6,[M+H]+,0.89,747.16
2.422,701.55825,SM 34:2;O2|SM 18:1;O2/16:1,[M+H]+,0.97,343.07
2.445,808.51243,PS 38:6|PS 14:0_24:6,[M+H]+,0.04,362.69
2.455,876.55682,PI 36:4,[M+NH4]+,0.97,1842.88
2.456,704.52189,PC 30:1|PC 14:0_16:1,[M+H]+,0.48,46.66
2.458,754.53409,PC 34:4|PC 14:0_20:4,[M+H]+,0.97,3052.44
2.46,738.50573,PE 36:5|PE 14:1_22:4,[M+H]+,0.51,61.96
2.475,830.5658,PC 40:8|PC 20:4_20:4,[M+H]+,0.97,14517.36
2.479,902.57106,PI 38:5,[M+NH4]+,0.97,197.98
2.495,780.55043,PC 36:5|PC 16:1_20:4,[M+H]+,0.93,6508.65
2.495,802.53146,PC 38:8|PC 18:4_20:4,[M+H]+,0.62,55.76
2.496,852.55748,PI 34:2,[M+NH4]+,0.97,417.23
2.501,856.583,PC 42:9|PC 20:4_22:5,[M+H]+,0.94,101.5
2.511,730.53534,PC 32:2|PC 16:1_16:1,[M+H]+,0.97,3438.04
2.512,752.51749,PC 34:5|PC 16:1_18:4,[M+H]+,0.57,23.8
2.522,792.55326,PC 37:6|PC 15:0_22:6,[M+H]+,0.64,573.02
2.53,788.51959,PE 40:8|PE 20:4_20:4,[M+H]+,0.45,169.45
2.535,689.55567,SM 33:1;O2|SM 18:1;O2/15:0,[M+H]+,0.94,164.67
2.541,784.51129,PS 36:4|PS 18:2_18:2,[M+H]+,0.03,155.59
2.544,806.56626,PC 38:6|PC 14:0_24:6,[M+H]+,0.97,24562.64
2.547,828.55614,PC 38:6,[M+Na]+,0.87,238.83
2.556,756.55299,PC 34:3|PC 16:1_18:2,[M+H]+,0.97,5272.3
2.561,878.56982,PI 36:3,[M+NH4]+,0.7,89.89
2.562,780.54994,PC 36:5|PC 16:0_20:5,[M+H]+,0.75,4037.44
2.582,832.58277,PC 40:7|PC 16:1_24:6,[M+H]+,0.15,261.13
2.585,750.50753,PE 37:6|PE 15:0_22:6,[M+H]+,0.87,196.59
2.595,782.56534,PC 36:4|PC 14:0_22:4,[M+H]+,0.97,5984.25
2.598,890.57091,PI 37:4,[M+NH4]+,0.96,185.75
2.605,714.50678,PE 34:3|PE 14:0_20:3,[M+H]+,0.95,157.62
2.605,764.52144,PE 38:6|PE 16:0_22:6,[M+H]+,0.91,937.22
2.607,768.55398,PC 35:4|PC 15:0_20:4,[M+H]+,0.97,929.76
2.607,790.53697,PE 40:7|PE 18:1_22:6,[M+H]+,0.18,85.1
2.615,738.50689,PE 36:5|PE 14:0_22:5,[M+H]+,0.97,664.44
2.626,794.5665,PC 37:5|PC 17:1_20:4,[M+H]+,0.79,297.2
2.636,756.55123,PC 34:3|PC 16:1_18:2,[M+H]+,0.86,3763.75
2.654,744.55305,PC 33:2,[M+H]+,0.97,1000.79
2.655,928.58849,PI 40:6,[M+NH4]+,0.96,815.21
2.657,740.52079,PE 36:4|PE 18:2_18:2,[M+H]+,0.92,655.32
2.664,806.5666,PC 38:6|PC 16:0_22:6,[M+H]+,0.98,135446
2.69,832.58202,PC 40:7|PC 16:1_24:6,[M+H]+,0.97,3547.19
2.7,703.57267,SM 34:1;O2|SM 18:1;O2/16:0,[M+H]+,0.99,30956.13
2.703,770.567,PC 35:3|PC 17:1_18:2,[M+H]+,0.46,237.2
2.713,706.53734,PC 30:0|PC 14:0_16:0,[M+H]+,0.92,447.39
2.714,858.59972,PC 42:8|PC 20:4_22:4,[M+H]+,0.96,300.38
2.722,764.52075,PE 38:6|PE 16:1_22:5,[M+H]+,0.97,30054.14
2.745,732.5514,PC 32:1|PC 14:0_18:1,[M+H]+,0.97,1270.02
2.752,782.56466,PC 36:4|PC 16:0_20:4,[M+H]+,1,77682.97
2.758,790.53936,PE 40:7|PE 18:1_22:6,[M+H]+,0.94,650.23
2.772,808.58341,PC 38:5|PC 18:1_20:4,[M+H]+,0.98,24219.7
2.784,880.5898,PI 36:2,[M+NH4]+,0.76,585.39
2.805,760.57606,PC 34:1|PC 14:0_20:1,[M+H]+,0.97,6514.28
2.806,758.56683,PC 34:2|PC 16:0_18:2,[M+H]+,1,72727.1
2.808,834.59965,PC 40:6|PC 20:3_20:3,[M+H]+,0.79,786.6
2.81,812.54232,PS 38:4|PS 19:2_19:2,[M+H]+,0.97,469.96
2.826,740.52084,BMP 32:0|BMP 16:0_16:0,[M+NH4]+,0.97,19580.82
2.834,786.58952,PC 36:2|PC 18:1_18:1,[M+H]+,0.96,356.75
2.859,808.5845,PC 38:5|PC 16:1_22:4,[M+H]+,0.95,5325.83
2.861,784.5828,PC 36:3|PC 16:1_20:2,[M+H]+,0.97,17527.85
2.863,906.60722,PI 38:3,[M+NH4]+,0.9,608.68
2.873,720.55256,PC 31:0|PC 14:0_17:0,[M+H]+,0.95,434.18
2.873,788.53992,PS 36:2|PS 18:1_18:1,[M+H]+,0.46,165.07
2.874,810.59799,PC 38:4|PC 16:0_22:4,[M+H]+,0.3,198.29
2.875,766.56915,PC O-36:5|PC O-16:1_20:4,[M+H]+,0.01,24026.38
2.878,716.51852,PE 34:2|PE 16:0_18:2,[M+H]+,0.97,39885.74
2.884,778.53659,PE 39:6|PE 17:0_22:6,[M+H]+,0.94,249.22
2.888,792.58958,PE O-41:6|PE O-17:0_24:6,[M+H]+,0.15,335.62
2.898,746.56666,PC 33:1|PC 14:0_19:1,[M+H]+,0.96,661.46
2.899,742.53543,PE 36:3|PE 18:1_18:2,[M+H]+,0.97,4120.24
2.907,796.58295,PC 37:4|PC 15:0_22:4,[M+H]+,0.97,26978.24
2.911,822.59834,PC 39:5|PC 17:1_22:4,[M+H]+,0.96,632.01
